ผู้ได้รับการเสนอชื่อสรรหาเป็นสมาชิกวุฒิสภา,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ภาควิชาการ,นายจำนงค์ สวมประคำ,มูลนิธิศิษย์เก่ามหาจุฬาลงกรณราชวิทยาลัย,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,1
ภาควิชาการ,นายจุกออน  ชินธเนศ,สมาคมผู้ปกครองและครูโรงเรียนบ้านนาสาร,ชาย,51-60 ปี,ปริญญาตรี,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,พลอากาศตรีเฉลิมชัย เครืองาม,มูลนิธิมหาจุฬาลงกรณ์ราชวิทยาลัย,ชาย,51-60 ปี,ปริญญาตรี,แพทย์,
ภาควิชาการ,นายชนะ  ประณมศรี,มหาวิทยาลัยบูรพา ,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายชยธวัช  อติแพทย์,สมาคมส่งเสริมทรัพย์สินทางปัญญาแห่งประเทศไทย,ชาย,40-50 ปี,ปริญญาโท,นักกฎหมาย,
ภาควิชาการ,นายชลอ  กองสุทธิ์ใจ,มูลนิธิรองศาสตราจารย์สุรพันธ์ ยันต์ทอง,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายชลิต  แก้วจินดา,มหาวิทยาลัยราชภัฏอุตรดิตถ์,ชาย,61-70 ปี,ปริญญาเอก,วิชาชีพ,
ภาควิชาการ,นายชวลิต หมื่นนุช,สมาคมสถาบันอุดมศึกษาเอกชนแห่งประเทศไทย,ชาย,51-60 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายชัยพร  รัตนนาคะ,มหาวิทยาลัยราชภัฏอุดรธานี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายชัยวัธ  มะระพฤกษ์วรรณ,มหาวิทยาลัยหอการค้าไทย,ชาย,61-70 ปี,ปริญญาโท,นักกฎหมาย,
ภาควิชาการ,นายชาญชัย  บูรพางกุร,สมาคมแพทย์โรคติดต่อทางเพศสัมพันธ์แห่งประเทศไทย,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นายชาลี  ศิลปรัศมี,พุทธสมาคมนครศรีธรรมราช,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายชุบ เข็มนาค,สมาคมดนตรีเพื่อคนตาบอด,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,พลเอกชูเกียรติ  มุ่งมิตร,มหาวิทยาลัยราชภัฏสวนสุนันทา,ชาย,51-60 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายโชติรัส  ชวนิชย์,มหาวิทยาลัยอีสเทิร์นเอเชีย,ชาย,51-60 ปี,ปริญญาเอก,ผู้บริหาร / ลูกจ้างภาคเอกชน,1
ภาควิชาการ,นางตรึงใจ  บูรณสมภพ,มหาวิทยาลัยศิลปากร,หญิง,61-70 ปี,ปริญญาเอก,วิชาชีพ,1
ภาควิชาการ,นางถนอมศรี ปรารถนาดี,มหาวิทยาลัยราชภัฏนครราชสีมา,หญิง,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายถิรพัฒน์  วิลัยทอง,สมาคมฟิสิกส์ไทย,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายทรงศักดิ์  ศรีอนุชาต,สมาคมพิษวิทยาแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,1
ภาควิชาการ,นายธง รุญเจริญ,มหาวิทยาลัยราชภัฏศรีสะเกษ,ชาย,71-80 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายธนู  กุลชล,มหาวิทยาลัยกรุงเทพ,ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,1
ภาควิชาการ,พลเอกธนู  ศรียากูล,สมาคมนิสิตเก่าปริญญาโทรัฐศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายธิติวัฒน์ ประชาธำรงพิวัฒน์,สมาคมเวชศาสตร์ฟื้นฟูแห่งประเทศไทย,ชาย,40-50 ปี,ปริญญาเอก,แพทย์,
ภาควิชาการ,นายธีรวุฒิ  โศภิษฐิกุล,มหาวิทยาลัยราชภัฏราชนครินทร์,ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,ร้อยโทธีระ  ศรีธรรมรักษ์,สมาคมกฎหมายแรงงาน (ประเทศไทย),ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,พลเอกนฤดล  เดชประดิยุทธ์,สมาคมจิตวิทยาความมั่นคงแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นายนิเดร์  วาบา,สมาคมโรงเรียนเอกชนสอนศาสนาอิสลามจังหวัดชายแดนภาคใต้,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการการเมือง,
ภาควิชาการ,นายนิธิดล  วงศ์ศิริกุล,สมาคมสโมสรลูกเสือธนบุรี,ชาย,40-50 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,พลโทบุญเชิด  วงศ์ไศลย์,มูลนิธิมหาวิทยาลัยศรีนครินทรวิโรฒ,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ, นายประกอบ กาญจนศูนย์,สมาคมนักโรคพืชแห่งประเทศไทย,ชาย,80 ปี ขึ้นไป,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,พลเรือโทประทีป ชื่นอารมย์,มูลนิธิสหสวรรษ,ชาย,51-60 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นางประทุมพร  วัชรเสถียร,สมาคมการศึกษาเพื่อความร่วมมือ ด้านความมั่นคงในภูมิภาคเอเชีย-แปซิฟิค,หญิง,61-70 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายประยูร  อัครบวร,มูลนิธิสถาบันวิชาการ 14 ตุลา,ชาย,51-60 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายประสาท  เกศวพิทักษ์,สมาคมดินและปุ๋ยแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายประสาร  มฤคพิทักษ์,มูลนิธิ 14 ตุลา,ชาย,51-60 ปี,ปริญญาตรี,นักวิชาการ / ครู / อาจารย์,1
ภาควิชาการ,นายประเสริฐ  ลิ่มประเสริฐ,สมาคมสำนักงานบัญชีและกฎหมาย,ชาย,51-60 ปี,ปริญญาเอก,นักกฎหมาย,
ภาควิชาการ,นายปัญญา  พวงสวัสดิ์,สมาคมศิษย์เก่าแม่โจ้,ชาย,51-60 ปี,ปริญญาโท,เกษตรกร,
ภาควิชาการ,นางผาณิต  นิติทัณฑ์ประภาศ,มหาวิทยาลัยขอนแก่น,หญิง,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายพจน์  สะเพียรชัย,สำนักงานคณะกรรมการการอุดมศึกษา,ชาย,71-80 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายพนม  พงษ์ไพบูลย์,มหาวิทยาลัยราชภัฏกาญจนบุรี,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,พลเอกพบสุข  สุธรานันท์,สมาคมผู้ปกครองและครูโรงเรียนวัดมกุฏกษัตริย์,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นายพยนต์  พันธ์ศรี,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,ชาย,61-70 ปี,ปริญญาโท,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นางสาวพรจิต  อรัณยกานนท์,วิทยาลัยทองสุข,หญิง,40-50 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายพรชัย  มงคลวนิช,มหาวิทยาลัยสยาม,ชาย,40-50 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายพรชัย  สุนทรพันธุ์,มหาวิทยาลัยอัสสัมชัญ,ชาย,61-70 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,1
ภาควิชาการ,นายพลสิทธิ์  หนูชูชัย,มหาวิทยาลัยราชภัฎบ้านสมเด็จเจ้าพระยา,ชาย,61-70 ปี,ปริญญาเอก,ที่ปรึกษา,
ภาควิชาการ,นายพินิจ  กุลละวณิชย์,ราชวิทยาลัยอายุรแพทย์แห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาตรี,แพทย์,1
ภาควิชาการ,นายพิพัฒน์  ปรีดาวิภาต,สภาองค์การนายจ้างไทย,ชาย,51-60 ปี,ปริญญาเอก,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นายพีรศักดิ์  วรสุนทโรสถ,มหาวิทยาลัยเทคโนโลยีมหานคร,ชาย,51-60 ปี,ปริญญาเอก,ผู้บริหาร / ลูกจ้างภาคเอกชน,
ภาควิชาการ,นายพีรศักดิ์  วรสุนทโรสถ,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,ชาย,51-60 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายเพชรเทียม  ทีเจริญ,โรงเรียนอ่างทองปัทมโรจน์วิทยาคม,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นายไพจิตร  ปวะบุตร,มหาวิทยาลัยราชภัฏอุบลราชธานี,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายไพฑูรย์  เนติโพธิ์,สมาคมนายจ้างหอพักไทย,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นายไพฑูรย์  พลสนะ,สมาคมศิษย์เก่า ครู ผู้ปกครองโรงเรียนนครพนมวิทยาคม,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายไพบูลย์  ตั้งธนะวัฒน์,สมาคมนิติศาสตรมหาบัณฑิต มหาวิทยาลัยรามคำแหง,ชาย,40-50 ปี,ปริญญาโท,นักกฎหมาย,
ภาควิชาการ,พลตำรวจโทมนตรี จำรูญ,สมาคมนักเรียนเก่าวิสุทธรังษี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นางสาวมัณฑนา  ปิยะมาดา,สมาคมนักเรียนทุนรัฐบาลไทย,หญิง,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นาง มาลี  สุวรรณอัตถ์,มูลนิธิบัณฑิตยสภาวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย,หญิง,71-80 ปี,ปริญญาเอก,ที่ปรึกษา,
ภาควิชาการ,นายมีพาศน์  โปตระนันทน์,มูลนิธิโรงเรียนพุทธศาสนาวันอาทิตย์ วัดบางเสาธง,ชาย,71-80 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายยุกติ  สาริกะภูติ,สมาคมพืชสวนแห่งประเทศไทย,ชาย,71-80 ปี,ปริญญาโท,ที่ปรึกษา,
ภาควิชาการ,พลตำรวจโทยุทธนา  ไทยภักดี,สมาคมโรงเรียนนายร้อยตำรวจ,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,1
ภาควิชาการ,นางรัศมี  แดงสุวรรณ,สมาคมผู้ปกครองและครูโรงเรียนดาราวิทยาลัย,หญิง,51-60 ปี,ปริญญาเอก,ผู้บริหาร / ลูกจ้างภาคเอกชน,
ภาควิชาการ,นายล้อม  เพ็งแก้ว,มหาวิทยาลัยราชภัฏเพชรบุรี,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นางวชิรญา  บัวศรี,สมาคมสตรีอุดมศึกษาแห่งประเทศไทยในพระอุปถัมภ์ของสมเด็จพระเจ้าพี่นางเธอเจ้าฟ้ากัลยานิวัฒนากรมหลวงนราธิวาสราชนครินทร์,หญิง,71-80 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,ร้อยโทวโรดม  สุจริตกุล,สมาคมผู้ตรวจสอบและบริหารความปลอดภัยอาคาร,ชาย,40-50 ปี,ปริญญาโท,วิชาชีพ,
ภาควิชาการ,นางวไล ณ ป้อมเพชร,สมาคมสภาการศึกษาคาทอลิก(ประเทศไทย),หญิง,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายวิชัย  พยัคฆโส,สมาคมส่งเสริมวิชาการพิมพ์,ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,พลเอกวิชิต  บุณยะวัฒน์,สถาบันพระปกเกล้า,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,นางสาววิชุดา  รัตนเพียร,มหาวิทยาลัยรัตนบัณฑิต,หญิง,40-50 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายวิเชษฐ  เทพเฉลิม,วิทยาลัยรัชต์ภาคย์,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายวิทย์  รายนานนท์,มูลนิธิสถาบันการต่างประเทศสราญรมย์,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายวิทวัส บุญญสถิตย์,มหาวิทยาลัยราชภัฏธนบุรี,ชาย,51-60 ปี,ปริญญาโท,ธุรกิจส่วนตัว / ค้าขาย,1
ภาควิชาการ,นายวิรัติ  พาณิชย์พงษ์,ราชวิทยาลัยพยาธิแพทย์แห่งประเทศไทย ,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,1
ภาควิชาการ,นายวิวัฒน์  ศัลยกำธร,สมาคมพัฒนาสังคม,ชาย,51-60 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายวิสุทธิ์  เจตสันติ์,มูลนิธิเผยแพร่ชีวิตประเสริฐ,ชาย,61-70 ปี,ปริญญาตรี,ที่ปรึกษา,
ภาควิชาการ,พลอากาศเอกวีระ  กิจจาทร,มหาวิทยาลัยราชภัฏพระนคร,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายไวทย์  สันตยารมณ์,พุทธสมาคมจังหวัดสงขลา,ชาย,71-80 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,พลเอกศิรินทร์  ธูปกล่ำ,สมาคมวิทยาลัยป้องกันราชอาณาจักร,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสมเกียรติ  ภู่ธรรมศิริ,สมาคมครูจังหวัดสระแก้ว,ชาย,40-50 ปี,ปริญญาตรี,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายสมชัย  วุฑฒิปรีชา,มหาวิทยาลัยราชภัฏนครปฐม,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,พลโทสมชาย  วิรุฬหผล,มูลนิธิสหบำรุงวิทยา,ชาย,61-70 ปี,ปริญญาเอก,รับจ้าง,
ภาควิชาการ,นายสมพงษ์  ธงไชย,สมาคมภูมินิเวศและภูมิสารสนเทศไทย,ชาย,51-60 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,พลอากาศเอกสมมิตร  ณ บางช้าง,สถาบันการบินพลเรือน,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาควิชาการ,พลเอกสมหมาย วิชาวรณ์,มหาวิทยาลัยราชภัฏนครสวรรค์,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสวัสดิ์  อุดมโภชน์,มหาวิทยาลัยราชภัฏรำไพพรรณี,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายสิทธิ์  บุตรอินทร์,สมาคมการอ่านแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นางสิรินันท์ บุญยะลีพรรณ,สมาคมผู้ปกครองและครูโรงเรียนสาธิต มศว. ประสานมิตร (ฝ่ายประถม),หญิง,40-50 ปี,ปริญญาเอก,แพทย์,
ภาควิชาการ,นางสุกัญญา สุดบรรทัด,มูลนิธิพัฒนาการศึกษาเพื่อศีลธรรม,หญิง,61-70 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,1
ภาควิชาการ,นายสุขสันต์  มลิทอง,สมาคมข้าราชการอาวุโสแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุจริต  ศรีประพันธ์,สมาคมนักบริหารสาธารณสุข,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุจิต บุญบงการ,จุฬาลงกรณ์มหาวิทยาลัย,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุทัศน์  ศรีวัฒนพงศ์,สมาคมนิสิตเก่ามหาวิทยาลัยเกษตรศาสตร์ในพระบรมราชูปถัมภ์,ชาย,71-80 ปี,ปริญญาเอก,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุนทร เทพเทวิน,สมาคมผู้ประเมินคุณภาพการศึกษาแห่งประเทศไทย,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุรชัย  เลี้ยงบุญเลิศชัย,เนติบัณฑิตยสภา,ชาย,51-60 ปี,ปริญญาตรี,นักกฎหมาย,1
ภาควิชาการ,นายสุรพล  จำปาเรือง,มูลนิธิประถมศึกษาอำเภอยางชุมน้อย,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุรอรรถ  ทองนิรมล,มูลนิธิรัฐศาสตร์และรัฐประศาสนศาสตร์ มหาวิทยาลัยเชียงใหม่,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายสุวัฒน์  วงศ์สินศิริกุล,สมาคมรัฐศาสตร์แห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายเสงี่ยม  บุษบาบาน,วิทยาลัยกรุงเทพธนบุรี,ชาย,40-50 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายเสถียร  วิพรมหา,มหาวิทยาลัยมหามกุฎราชวิทยาลัย,ชาย,40-50 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,ว่าที่ร้อยตรีหัสชัย  พงษ์ธนเลิศ ร.น.,มูลนิธิโครงการภาคอังกฤษโรงเรียนโยธินบูรณะ,ชาย,51-60 ปี,ปริญญาโท,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นายหิรัญ  รดีศรี,มหาวิทยาลัยธรรมศาสตร์,ชาย,71-80 ปี,ปริญญาโท,ธุรกิจส่วนตัว / ค้าขาย,
ภาควิชาการ,นายอดิเรก ศรีวัฒนาวงษา,ทันตแพทยสมาคมแห่งประเทศไทยในพระบรมราชูปถัมภ์,ชาย,40-50 ปี,ปริญญาโท,แพทย์,
ภาควิชาการ,นายอดุลย์  วิริยเวชกุล,สมาคมประสาทวิทยาลัยแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายอนันต์  พระเดโช,สมาคมผู้ปกครองและครูโรงเรียนศรีราชา,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาควิชาการ,นายอรุณ  ธานี,สมาคมผู้บริหารสถานศึกษา อำเภอเขื่องใน,ชาย,61-70 ปี,ปริญญาโท,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายอาจอง  ชุมสาย ณ อยุธยา,โรงเรียนสัตยาไส,ชาย,61-70 ปี,ปริญญาเอก,นักวิชาการ / ครู / อาจารย์,
ภาควิชาการ,นายอุดร  จันทวัน,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตขอนแก่น,ชาย,51-60 ปี,ปริญญาเอก,รับจ้าง,
ภาควิชาการ,นายอุฤทธิ์  บุญมาก,มหาวิทยาลัยปทุมธานี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,ว่าที่ร้อยตรีกอบกิตติ์ สุวรรณโชติ,องค์การบริหารส่วนจังหวัดสุราษฎร์ธานี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,พันตำรวจโทกิตติ  ศรัทธา,สำนักงานส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม,ชาย,40-50 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,นางกุลกัญญา  ลาภนิมิตรชัย,มูลนิธิสงเคราห์เด็กและเยาวชนของศาลเยาวชน และครอบครัว จังหวัดราชบุรี,หญิง,40-50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว / ค้าขาย,
ภาครัฐ,ร้อยตำรวจตรีเกรียงศักดิ์  โลหะชาละ,กรุงเทพมหานคร,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,พลอากาศเอกเกียรติศักดิ์  เทพกุญชร,องค์การสงเคราะห์ทหารผ่านศึก,ชาย,61-70 ปี,ปริญญาตรี,ข้าราชการบำนาญ,
ภาครัฐ,นายโกเมศ  แดงทองดี,จังหวัดราชบุรี,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,นายโกวิทย์  โปษยานนท์,สำนักงานปลัดกระทรวงการคลัง,ชาย,71-80 ปี,ปริญญาเอก,ธุรกิจส่วนตัว / ค้าขาย,
ภาครัฐ,นายขจัดภัย  บุรุษพัฒน์,สมาคมข้าราชการพลเรือนแห่งประเทศไทย,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,นายเขมทัต  สุคนธสิงห์,กระทรวงวิทยาศาสตร์และเทคโนโลยี,ชาย,51-60 ปี,ปริญญาตรี,วิชาชีพ,
ภาครัฐ,นายเขมทัต  สุคนธสิงห์,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,ชาย,51-60 ปี,ปริญญาตรี,วิชาชีพ,
ภาครัฐ,นายจารึก  อนุพงษ์,เทศบาลตำบลปากน้ำหลังสวน,ชาย,61-70 ปี,ปริญญาเอก,ข้าราชการบำนาญ,1
ภาครัฐ,นางจารุณี  พิมพะนิตย์,องค์การบริหารส่วนจังหวัดกาฬสินธุ์,หญิง,40-50 ปี,ปริญญาตรี,ธุรกิจส่วนตัว / ค้าขาย,
ภาครัฐ,นายจิระ บุญพจนสุนทร,สำนักงานศาลรัฐธรรมนูญ,ชาย,71-80 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,นายเจตน์  ศิรธรานนท์,กระทรวงสาธารณสุข,ชาย,51-60 ปี,ปริญญาตรี,แพทย์,1
ภาครัฐ,นายเฉลิมพล ประทีปะวณิช,จังหวัดบุรีรัมย์,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
ภาครัฐ,นายชัยวัฒน์  สิทธิบุศย์,กรมพัฒนาที่ดิน,ชาย,61-70 ปี,ปริญญาโท,ข้าราชการบำนาญ,
