ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
18,3-105-32/54,ศรีนคร,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 12/239,7,เทียนทะเล 24,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150.0,,8500000,7,129.0
19,3-105-39/59,บริษัท เอ็มบอส กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 549,,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,02-0489980,29000000,6,91.0
20,3-105-4/60,บริษัท เจดีย์ไทย สตีล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 249,,,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150.0,,115000000,32,954.0
21,3-105-48/59,ธวัช รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 743/7,,เสือใหญ่อุทิศ,รัชดาภิเษก,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,10900.0,29300668,12900000,10,228.5
22,3-105-49/59,ห้างหุ้นส่วนจำกัด เค.ไว.เค.เปเปอร์,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 19,,เทียนทะเล 30,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,10150.0,28972394,27000000,21,295.0
23,3-105-51/59,บริษัท อุตสาหกรรมโลหะ มหานคร (2010) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 92/78-79,9,,ฉลองกรุง,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530.0,892029400,120000000,33,1247.0
24,3-105-52/59,นางวรรณา กนกทิพย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 26/5,,เพชรเกษม114,เพชรเกษม,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10150.0,,13000000,14,766.34
25,3-105-53/54,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษกระดาษ,เลขที่ 4,,-,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,,2000000,2,485.0
26,3-105-54/59,บริษัท ช.รุ่งทรัพย์ จำกัด,คัดแยกวัสดุที่ไม่ใช่แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 597,,,พระราม 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,24155642,12300000,9,426.5
27,3-105-54/61,นวกลกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 16/1,16/2",,บางกระดี่ 1 แยก 9,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,09 5596 4555,12198000,4,98.0
28,3-105-57/61,บริษัท ตั้งซุ่ยเฮง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/164,3,กำนันแม้น,เอกชัย,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,10150.0,02-8978134-5,185000000,29,745.0
29,3-105-6/48,มิตรไพบูลย์,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และตัดเหล็ก,เลขที่ 29/6,3,-,ประชาสำราญ 2,หนองจอก,หนองจอก,กรุงเทพมหานคร,10530.0,,515000,9,2.0
30,3-105-60/60,นายการัณย์ อัครกุลพรรณ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 89,,บางกระดี่ 19,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,081-8447639,37500000,30,435.0
31,3-105-68/60,บริษัท เหล็กหมุนเวียน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 159,,,มาเจริญ,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160.0,02-8121576,63000000,34,2992.81
32,3-105-69/59,บริษัท ไคฮวดจั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 888,,,หทัยราษฎร์,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,10510.0,29565125,175000000,30,795.0
33,3-105-70/59,บริษัท ไคฮวดจั่นโลหะกิจสุวินทวงศ์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 888,,,สุวินทวงษ์,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,10510.0,29565125,220000000,30,1041.0
34,3-105-71/59,บริษัท เอส.เอช.เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 9,,พุทธบูชา 36 แยก 1,พุทธบูชา ,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140.0,24264961,20000000,17,589.0
35,3-105-72/59,บริษัท เจ พี เปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 8,,ราษฎร์บูรณะ,,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140.0,287220724,9000000,14,300.0
36,3-105-72/61,นายสิทธิพงศ์ อนันต์หล่อพันธ์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 518/27,,รามคำแหง 39 (เทพลีลา 1),,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,10310.0,,14500000,5,100.0
37,3-105-73/59,บริษัท ส.พัฒนาเปเปอร์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 22,,แสมดำ 5,แสมดำ,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10120.0,,93000000,30,808.18
38,3-105-81/48,ซั่งเฮงจั่น,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น เศษโลหะ เศษกระดาษ อัดกระป๋องและตัดโลหะ,เลขที่ 3,,โชติวัฒน์ ซอย 14,ประชาชื่น,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,10800.0,02-5852521,13000000,10,255.0
39,3-105-84/59,วงษ์พาณิชย์บางบอน,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 91,,,กาญจนาภิเษก,บางบอน,บางบอน,กรุงเทพมหานคร,10150.0,02-8999995,8700000,7,55.5
40,3-105-84/60,บริษัท ชนะชัย รีไซเคิล กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 19,,ประชาร่วมใจ 59,ประชาร่วมใจ,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,10510.0,02-9169933,2700000,15,836.5
41,3-105-85/59,บริษัท ท็อป ซีเคร็ต ด็อกคิวเมนท์ ดิสทรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 4/14,6,,,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530.0,02-9565899,49000000,7,457.0
42,3-105-88/59,บริษัท คูเซ่งฮวด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วไม่เป็นของเสียอันตราย,"เลขที่ 25,27",,อ่อนนุช 80,อ่อนนุช,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250.0,,7000000,7,119.0
43,3-105-89/59,บริษัท สยามคราฟท์ เฮ้าส์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 169/2,,,เลียบคลองมอญ,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,,5000000,10,61.0
44,3-105-9/60,นายคมกริช นิธิธนปรีดา,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 61,,บางกระดี่ 25,,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,,24500000,14,200.0
45,3-105-91/60,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 2,,กรุงเทพกรีฑา 47,,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,10240.0,02-2451532,17556000,8,191.0
46,3-105-98/50,หนองแขมของเก่า,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายอัดเศษกระดาษและอัดเศษโลหะ,เลขที่ 13/16,7, -,เพชรเกษม 81,หนองแขม,หนองแขม,กรุงเทพมหานคร,10160.0,,1800000,7,33.0
47,3-106-1/46,นางกิมเอ็ง ยิ่งแจ่มจันทร์,ทำน้ำมันผสมสีทาบ้านจากน้ำมันเครื่องเก่า (Waste Oil Refining),เลขที่ 40,,เพชรเกษม 110 แยก 14-1-1,-,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160.0,,0,0,335.5
48,3-106-2/46,บริษัท นิ้วเจริญ จำกัด,ซ่อมแซมถังน้ำมัน,เลขที่ 71/5,,วิเชียร,ประชาอุทิศ,บางมด,ทุ่งครุ,กรุงเทพมหานคร,10140.0,,22000000,12,153.0
49,3-106-34/60,บริษัท ยูอาร์ดี อินเตอร์เนชั่นแนล จำกัด,นำยางรถยนต์ที่ไม่ใช้แล้วมาสับ บดย่อย เพื่อนำกลับมาใช้ประโยชน์ใหม่เป็นวัตถุดิบ,เลขที่ 74,,6,บางบอน 4,บางบอน,บางบอน,กรุงเทพมหานคร,10150.0,02-892-2679,80000000,10,769.5
50,3-106-36/60,บริษัท เหล็กหมุนเวียน จำกัด,บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 159,,,มาเจริญ,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,10160.0,28121576,24000000,8,655.12
51,3-106-54/61,บริษัท กรุงเทพธนาคม จำกัด,เชื้อเพลิงแข็งจากขยะชุมชน,เลขที่ โฉนดที่ดินเลขที่ 121,,อ่อนนุช 86,อ่อนนุช,ประเวศ,ประเวศ,กรุงเทพมหานคร,10250.0,0 2168 3368,1370000000,47,2693.21
52,3-106-62/60,บริษัท ผลพาณิชย์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ที่ใช้แล้วและเครื่องใช้ไฟฟ้าเก่า และคัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 99/231,4,,พระรามที่ 2,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,10150.0,084-4244701,1000000,12,90.0
53,ข3-106-18/48,บริษัท ไฮโดร แอนด์ ไพโรเมท จำกัด,แยกสกัดโลหะมีค่า เช่น เงิน ทองแดง ทองคำ จากเศษโลหะด้วยไฟฟ้าและวิเคราะห์ปริมาณกลุ่มโลหะมีค่า,เลขที่ 3/356-357,9,-,สุวินทวงศ์,ลำผักชี,หนองจอก,กรุงเทพมหานคร,10530.0,02-5435436-7,0,9,73.86
54,น.105-1/2553-นนล.,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,ซื้อมาขายไปนำเข้าส่งออกซ่อมแซมปรับปรุงเปลี่ยนแปลงสภาพแบ่งบรรจุชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และไฟฟ้าแผ่นแผงวงจรอิเล็กทรอนิกส์ทุกชนิดรวมถึงแบตเตอรี่และถ่านไฟฉายทุกชนิดเทปอิเล็กทรอนิกส์เครื่องเสียงในรถยนต์จอภาพจอมอนิเตอร์จอแอลซีดีเครื่องคิดเลขเครื่องคำนวณเคร,เลขที่ 115,4,-,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,02-326-1256,10000000,15,1265.0
55,น.106-1/2551-นนล.,บริษัท โลหะ สยาม จำกัด,1.บดย่อยเศษและตะกรันโลหะบดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์และบดอัดเศษโลหะปนเปื้อนน้ำมัน2.คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 66,,#NAME?,-,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,02739-6388,65000000,13,310.0
56,น.106-1/2553-นนล.,บริษัท เอดิสัน เอ็กซ์พอร์ทเทชั่น จำกัด,บดย่อยเศษและตะกรันโลหะนำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ไม่ใช้แล้วมาปรับปรุงเปลี่ยนแปลงแปรสภาพเพื่อนำกลับมาใช้ใหม่บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์อัดเศษโลหะปนเปื้อนน้ำมันนำกากตะกอนจากการชุบโลหะมาผ่านกระบวนการอบแห้งและเก็บรวบรวมแบตเตอรี่ที่ใช้,เลขที่ 66,,ฉลองกรุง31,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,814334212,0,0,329.5
57,น.106-1/2559-นนล.,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,เลขที่ 239,,ฉลองกรุง31,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,904100066,7000000000,286,1100.0
58,น.106-1/2561-นนล.,บริษัท ไวโรกรีน (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็คทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องโทรศัพท์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไห,เลขที่ -,,ฉลองกรุง31,ฉลองกรุง,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,-,0,0,0.0
59,น.106-2/2559-นนล.,บริษัท กรีนรีพับลิค จำกัด,การนำน้ำมันเครื่องใช้แล้วมาผลิตเป็นน้ำมันเครื่องพื้นฐาน(BaseOils),เลขที่ 40,,ฉลองกรุง31,,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,26888200,0,0,0.0
60,น.106-2/2561-นนล.,บริษัท อิซัน อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,ซ่อมแซมดัดแปลงปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิคส์เก่าใช้แล้วรีไซเคิลจอมอนิเตอร์แบบแอลซีดีบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์และถอดประกอบอุปกรณ์ไฟฟ้าและอิเล็คทรอนิคส์เครื่องโทรทัศน์เครื่องเราต์เตอร์คอมพิวเตอร์ชิ้นส่วนอะไหล่เครื่องโมเด็ม,เลขที่ -,,-,-,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,10520.0,-,0,0,0.0
61,3-101-1/34สป,บริษัท เอ็ม.ไทย เอสเตท จำกัด,บำบัดน้ำเสียรวม,เลขที่ 159/1,16,,เทพารักษ์ กม.23,บางเสาธง,บางเสาธง,สมุทรปราการ,10540.0,02-706-1515,109363616,10,500.0
62,3-101-1/35สป,บริษัท จีเอฟพีที จำกัด (มหาชน),บำบัดน้ำเสียรวม,เลขที่ 209,1,,เทพารักษ์ กม.20.5,บางเสาธง,บางเสาธง,สมุทรปราการ,10540.0,02-3159400,86160000,24,1751.26
63,3-101-1/44สป,โรงงานบำบัดน้ำเสีย โครงการจัดการนำเสียในเขตควบคุมพมลพิษ จังหวัดสมุทรปราการ,บำบัดน้ำเสียจากแหล่งชุมชน สถานประกอบการและโรงงานอุตสาหกรรมในเขตควบคุมมลพิษ จังหวัดสมุทรปราการ โดยใช้วิธีบำบัดทางชีวภาพแบบตะกอนเร่ง (Extened aeration activated s,เลขที่ ,11,-,สุขมวิท,คลองด่าน,บางบ่อ,สมุทรปราการ,10550.0,      -,5468790000,80,30000.0
64,3-101-1/45สป,บ่อบำบัดรวม โครงการสุธาวี มินิแฟค,บ่อบำบัดน้ำเสียรวม,เลขที่ 261/93,2,    -,ปานวิถี,บางเพรียง,บางบ่อ,สมุทรปราการ,10560.0,02-708-3659-60,7220000,5,38.58
65,3-101-1/46สป,บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด,"บำบัดน้ำเสียรวม ปริมาณการบำบัดสูงสุด 2,000 ลูกบาศก์เมตร/วัน",เลขที่ 82/1,2, -,ทางรถไฟสายเก่า,สำโรงใต้,พระประแดง,สมุทรปราการ,10130.0,0-2386-1331,60000000,4,621.55
66,3-101-2/36สป,สมาคมอุตสาหกรรมฟอกหนัง,ปรับคุณภาพน้ำเสียรวม,เลขที่ ,,ฟอกหนัง,สุขุมวิท กม.34,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,7039009-10,13000000,15,577.4
67,3-101-2/45สป,บริษัท มิลเลนเนียมมอเตอร์ จำกัด,โรงงานปรับคุณภาพน้ำเสียรวม (CENTRAL WASTE WATER TREATMENT PLANT),เลขที่ 199,8,-,พุทธรักษา,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,02 388-0868,6000000,3,50.0
68,3-101-3/36สป,สมาคมอุตสาหกรรมฟอกหนัง,ปรับปรุงคุณภาพน้ำเสีย,เลขที่ ,11,ฟอกหนัง,สุขุมวิท กม.30,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,,33000000,15,1493.0
69,3-101-3/41สป,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),บำบัดน้ำเสียรวม,เลขที่ 89/2,8,วัดสวนส้ม,ปู่เจ้าสมิงพราย,สำโรงใต้,พระประแดง,สมุทรปราการ,10130.0,3842760-1,48000000,3,460.92
70,3-105-1/46สป,บริษัท สวารินทร์ จำกัด,เกี่ยวกับการคัดแยกหรือผังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดในกฎกระทรวงฉบับที่ 2 (พ.ศ.2535) ออกตามความในพระราชบัญญัติโรงงาน,เลขที่ 33/2-5 อาคารเดิมอาคารที่ 2,4,-,สุขาภิบาล 6,บางหัวเสือ,พระประแดง,สมุทรปราการ,10130.0,0 2383 0997-8,1500000,18,60.0
71,3-105-1/49สป,บริษัท ซี ยู อี จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติกและผลิตเมล็ดพลาสติกเกรดบี,เลขที่ 13/12-13,4, -,บางนา-ตราด,บางบ่อ,บางบ่อ,สมุทรปราการ,10560.0,,12250000,13,576.05
72,3-105-10/57สป,บริษัท มังกร เอส.พี.เค.รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/13,12,,,บางปลา,บางพลี,สมุทรปราการ,10540.0,,5000000,16,192.0
73,3-105-10/60สป,บริษัท เอสทีซี รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 567/1,1,เทศบาลบางปู 111,สุขุมวิท,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,10280.0,,3500000,18,58.0
